id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
7183,0GA1,small_airport,"Mustang Field",34,-83,693,NA,US,US-GA,Hartwell,no,0GA1,,0GA1
7184,0GA2,small_airport,"Airnautique, Inc. Airport",34,-83,720,NA,US,US-GA,Hartwell,no,0GA2,,0GA2
7185,0GA3,small_airport,"Ayresouth Airport",34,-85,1287,NA,US,US-GA,Temple,no,0GA3,,0GA3
7186,0GA4,small_airport,"Paradise Falls Airport",34,-84,736,NA,US,US-GA,"Good Hope",no,,,
7187,0GA5,heliport,"Big Canoe Heliport",34,-84,1475,NA,US,US-GA,Jasper,no,0GA5,,0GA5
7188,0GA6,small_airport,"Sunset Strip",34,-84,780,NA,US,US-GA,Jersey,no,0GA6,,0GA6
7189,0GA7,closed,"Hickory Level Airfield",34,-85,1080,NA,US,US-GA,Carrollton,no,,,
7190,0GA8,small_airport,"Paso Fino Farm Airport",31,-83,200,NA,US,US-GA,Valdosta,no,0GA8,,0GA8
7191,0GA9,small_airport,"Roberta Industrial Park Airport",33,-84,505,NA,US,US-GA,Roberta,no,0GA9,,0GA9
7192,0GE0,small_airport,"Pinewood Airport",34,-85,1085,NA,US,US-GA,Douglasville,no,0GE0,,0GE0
7193,0GE1,small_airport,"Crystal Lake Airpark",32,-83,327,NA,US,US-GA,Irwinville,no,0GE1,,0GE1
7194,0GE3,small_airport,"Lookout Mountain Airport",35,-85,563,NA,US,US-GA,Trenton,no,0GE3,,0GE3
7195,0GE4,small_airport,"Pecan Patch Airstrip",33,-84,860,NA,US,US-GA,Sunnyside,no,0GE4,,0GE4
7196,0GE5,small_airport,"Mountain Airpark",35,-84,1438,NA,US,US-GA,Cleveland,no,0GE5,,0GE5
7197,0GE7,small_airport,"Carpenter Airport",34,-82,450,NA,US,US-GA,Appling,no,0GE7,,0GE7
